Reporter Identifier	Reporter Name
AM01553	BB170003A20F04.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170003A20F04 5', mRNA sequence
AM01553	BB170003A20F04.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170003A20F04 5', mRNA sequence
AM03833	GB11210-RA [PREDICTED: Apis mellifera similar to CG10361-PA (LOC411916), partial mRNA]
AM03833	GB11210-RA [PREDICTED: Apis mellifera similar to CG10361-PA (LOC411916), partial mRNA]
AM01115	AM01115 Unknown [Arrayset: UI_EST BI503487, Group15.29_1205461_1205509]
AM01115	AM01115 Unknown [Arrayset: UI_EST BI503487, Group15.29_1205461_1205509]
AM09254	GB16675-RA [PREDICTED: Apis mellifera similar to Angiotensin-converting enzyme, testis-specific isoform precursor (ACE-T) (Dipeptidyl carboxypeptidase I) (Kininase II) (LOC408536), mRNA]
AM09254	GB16675-RA [PREDICTED: Apis mellifera similar to Angiotensin-converting enzyme, testis-specific isoform precursor (ACE-T) (Dipeptidyl carboxypeptidase I) (Kininase II) (LOC408536), mRNA]
AM00458	DB759032 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10015I08 3', mRNA sequence
AM00458	DB759032 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10015I08 3', mRNA sequence
AM08446	GB15864-RA
AM08446	GB15864-RA
AM07569	GB14977-RA [PREDICTED: Apis mellifera similar to CG12797-PA (LOC411847), mRNA]
AM07569	GB14977-RA [PREDICTED: Apis mellifera similar to CG12797-PA (LOC411847), mRNA]
AM01810	BB170026A20D01.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170026A20D01 5', mRNA sequence
AM01810	BB170026A20D01.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170026A20D01 5', mRNA sequence
AM05928	GB13324-RA [PREDICTED: Apis mellifera similar to GTP-binding protein CG2522-PA, transcript variant 1 (LOC411542), mRNA]
AM05928	GB13324-RA [PREDICTED: Apis mellifera similar to GTP-binding protein CG2522-PA, transcript variant 1 (LOC411542), mRNA]
AM02573	BB160023B10B04.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160023B10B04 5', mRNA sequence
AM02573	BB160023B10B04.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160023B10B04 5', mRNA sequence
AM08583	GB16001-RA [PREDICTED: Apis mellifera similar to YEATS domain containing 2 (LOC409331), mRNA]
AM08583	GB16001-RA [PREDICTED: Apis mellifera similar to YEATS domain containing 2 (LOC409331), mRNA]
AM07893	GB15303-RA [Apis mellifera tyrosine hydroxylase (TyHyd), mRNA]
AM07893	GB15303-RA [Apis mellifera tyrosine hydroxylase (TyHyd), mRNA]
AM00874	DB748426 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10072H19 5', mRNA sequence
AM00874	DB748426 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10072H19 5', mRNA sequence
AM07564	GB14972-RA [PREDICTED: Apis mellifera thioredoxin reductase, transcript variant 2 (Trxr-1), mRNA]
AM07564	GB14972-RA [PREDICTED: Apis mellifera thioredoxin reductase, transcript variant 2 (Trxr-1), mRNA]
AM03413	GB10788-RA
AM03413	GB10788-RA
AM09545	GB16968-RA
AM09545	GB16968-RA
AM01483	BB170026B20H10.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170026B20H10 5', mRNA sequence
AM01483	BB170026B20H10.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170026B20H10 5', mRNA sequence
AM03726	GB11102-RA [PREDICTED: Apis mellifera similar to Rep1 CG8357-PA (LOC725070), mRNA]
AM03726	GB11102-RA [PREDICTED: Apis mellifera similar to Rep1 CG8357-PA (LOC725070), mRNA]
AM09521	GB16944-RA [PREDICTED: Apis mellifera similar to CG8379-PA, isoform A, transcript variant 1 (LOC409440), mRNA]
AM09521	GB16944-RA [PREDICTED: Apis mellifera similar to CG8379-PA, isoform A, transcript variant 1 (LOC409440), mRNA]
AM08309	GB15726-RA [PREDICTED: Apis mellifera similar to CG32857-PA (LOC412366), mRNA]
AM08309	GB15726-RA [PREDICTED: Apis mellifera similar to CG32857-PA (LOC412366), mRNA]
AM05206	GB12590-RA [PREDICTED: Apis mellifera similar to Translin (LOC413794), mRNA]
AM05206	GB12590-RA [PREDICTED: Apis mellifera similar to Translin (LOC413794), mRNA]
AM03322	GB17819-RA [PREDICTED: Apis mellifera similar to Acetylcholine receptor protein, beta-like subunit 1 precursor (LOC410478), partial mRNA]
AM03322	GB17819-RA [PREDICTED: Apis mellifera similar to Acetylcholine receptor protein, beta-like subunit 1 precursor (LOC410478), partial mRNA]
AM01888	"NW_001253028.1 SET: UI_EST BI511273; Apis mellifera linkage group 12 genomic contig, reference assembly (based on Amel_4.0 Group12.1)"
AM01888	"NW_001253028.1 SET: UI_EST BI511273; Apis mellifera linkage group 12 genomic contig, reference assembly (based on Amel_4.0 Group12.1)"
AM04465	GB11846-RA [PREDICTED: Apis mellifera similar to Neuroglian CG1634-PA, isoform A (LOC411829), mRNA]
AM04465	GB11846-RA [PREDICTED: Apis mellifera similar to Neuroglian CG1634-PA, isoform A (LOC411829), mRNA]
AM12053	GB19501-RA [PREDICTED: Apis mellifera similar to CG5023-PA (LOC408532), mRNA]
AM12053	GB19501-RA [PREDICTED: Apis mellifera similar to CG5023-PA (LOC408532), mRNA]
AM12441	GB30090-RB
AM12441	GB30090-RB
AM01045	BB170011A20H02.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170011A20H02 5', mRNA sequence
AM01045	BB170011A20H02.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170011A20H02 5', mRNA sequence
AM05398	GB12783-RA
AM05398	GB12783-RA
AM06491R	[Antisense] GB13893-RA [PREDICTED: Apis mellifera similar to CG9220-PC, transcript variant 1 (LOC413549), mRNA]
AM06491R	[Antisense] GB13893-RA [PREDICTED: Apis mellifera similar to CG9220-PC, transcript variant 1 (LOC413549), mRNA]
AM08025	GB15438-RA [PREDICTED: Apis mellifera similar to NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa (LOC727049), mRNA]
AM08025	GB15438-RA [PREDICTED: Apis mellifera similar to NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa (LOC727049), mRNA]
AM10076	GB17505-RA
AM10076	GB17505-RA
AM02818	GB10191-RA [PREDICTED: Apis mellifera similar to Rpb8 CG11246-PA, transcript variant 2 (LOC411083), mRNA]
AM02818	GB10191-RA [PREDICTED: Apis mellifera similar to Rpb8 CG11246-PA, transcript variant 2 (LOC411083), mRNA]
AM07581	GB14990-RA
AM07581	GB14990-RA
AM08428	GB15846-RA [PREDICTED: Apis mellifera similar to rapsynoid CG5692-PA (LOC410315), mRNA]
AM08428	GB15846-RA [PREDICTED: Apis mellifera similar to rapsynoid CG5692-PA (LOC410315), mRNA]
AM09395	GB16817-RA [PREDICTED: Apis mellifera similar to Osiris 17 CG15598-PA (LOC726155), mRNA]
AM09395	GB16817-RA [PREDICTED: Apis mellifera similar to Osiris 17 CG15598-PA (LOC726155), mRNA]
AM07142	GB14543-RA [PREDICTED: Apis mellifera hypothetical LOC409562, transcript variant 1 (LOC409562), mRNA]
AM07142	GB14543-RA [PREDICTED: Apis mellifera hypothetical LOC409562, transcript variant 1 (LOC409562), mRNA]
AM05956	GB13352-RA
AM05956	GB13352-RA
AM00514	DB761556 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10024D12 3', mRNA sequence
AM00514	DB761556 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10024D12 3', mRNA sequence
AM01004	DB762284 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10026J11 3', mRNA sequence
AM01004	DB762284 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10026J11 3', mRNA sequence
AM05239	GB12623-RA [PREDICTED: Apis mellifera similar to tincar CG31247-PA, isoform A (LOC551130), mRNA]
AM05239	GB12623-RA [PREDICTED: Apis mellifera similar to tincar CG31247-PA, isoform A (LOC551130), mRNA]
AM01889	BB160005A10H11.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160005A10H11 5', mRNA sequence
AM01889	BB160005A10H11.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160005A10H11 5', mRNA sequence
AM00525	DB735031 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10024N20 5', mRNA sequence
AM00525	DB735031 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10024N20 5', mRNA sequence
AM11531	GB18975-RA [PREDICTED: Apis mellifera similar to sunday driver CG8110-PA, isoform A (LOC727395), partial mRNA]
AM11531	GB18975-RA [PREDICTED: Apis mellifera similar to sunday driver CG8110-PA, isoform A (LOC727395), partial mRNA]
AM06452	GB13853-RA [PREDICTED: Apis mellifera similar to dystrophin CG31175-PA, isoform A (LOC410677), mRNA]
AM06452	GB13853-RA [PREDICTED: Apis mellifera similar to dystrophin CG31175-PA, isoform A (LOC410677), mRNA]
AM08102	GB15517-RA
AM08102	GB15517-RA
AM10371	GB17799-RA
AM10371	GB17799-RA
AM10006	GB17434-RA [Apis mellifera cytochrome P450 monooxygenase (Cyp6as5), mRNA]
AM10006	GB17434-RA [Apis mellifera cytochrome P450 monooxygenase (Cyp6as5), mRNA]
AM10742	GB18174-RA
AM10742	GB18174-RA
AM02643	GB10014-RA [PREDICTED: Apis mellifera similar to CG2211-PA (LOC552487), mRNA]
AM02643	GB10014-RA [PREDICTED: Apis mellifera similar to CG2211-PA (LOC552487), mRNA]
AM10814	GB18249-RA [PREDICTED: Apis mellifera similar to Ubiquitin-conjugating enzyme E2-17 kDa (Ubiquitin-protein ligase) (Ubiquitin carrier protein) (Protein effete) (LOC724793), mRNA]
AM10814	GB18249-RA [PREDICTED: Apis mellifera similar to Ubiquitin-conjugating enzyme E2-17 kDa (Ubiquitin-protein ligase) (Ubiquitin carrier protein) (Protein effete) (LOC724793), mRNA]
AM08401	GB15819-RA
AM08401	GB15819-RA
AM04898	GB30307-RA [PREDICTED: Apis mellifera similar to Serpin-27A CG11331-PA (LOC726320), mRNA]
AM04898	GB30307-RA [PREDICTED: Apis mellifera similar to Serpin-27A CG11331-PA (LOC726320), mRNA]
AM05562	GB12951-RA [PREDICTED: Apis mellifera similar to 14-3-3 CG17870-PC, isoform C, transcript variant 1 (LOC408289), mRNA]
AM05562	GB12951-RA [PREDICTED: Apis mellifera similar to 14-3-3 CG17870-PC, isoform C, transcript variant 1 (LOC408289), mRNA]
AM07047	GB14449-RA [PREDICTED: Apis mellifera similar to GTP binding protein 3 (mitochondrial) isoform V (LOC727499), partial mRNA]
AM07047	GB14449-RA [PREDICTED: Apis mellifera similar to GTP binding protein 3 (mitochondrial) isoform V (LOC727499), partial mRNA]
AM11378	GB18820-RA [PREDICTED: Apis mellifera similar to Arginase-2, mitochondrial precursor (Arginase II) (Non-hepatic arginase) (Kidney-type arginase) (LOC724360), partial mRNA]
AM11378	GB18820-RA [PREDICTED: Apis mellifera similar to Arginase-2, mitochondrial precursor (Arginase II) (Non-hepatic arginase) (Kidney-type arginase) (LOC724360), partial mRNA]
AM08419	GB15837-RA [PREDICTED: Apis mellifera similar to extradenticle CG8933-PA, isoform A (LOC408763), mRNA]
AM08419	GB15837-RA [PREDICTED: Apis mellifera similar to extradenticle CG8933-PA, isoform A (LOC408763), mRNA]
AM03543	GB10918-RA [PREDICTED: Apis mellifera similar to CG31216-PA (LOC413484), mRNA]
AM03543	GB10918-RA [PREDICTED: Apis mellifera similar to CG31216-PA (LOC413484), mRNA]
AM01801	BB170028B10B03.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170028B10B03 5', mRNA sequence
AM01801	BB170028B10B03.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170028B10B03 5', mRNA sequence
AM06091	GB13488-RA [PREDICTED: Apis mellifera similar to Suppressor of cytokine signaling 2 (SOCS-2) (Cytokine-inducible SH2 protein 2) (CIS-2) (STAT-induced STAT inhibitor 2) (SSI-2) (LOC411290), mRNA]
AM06091	GB13488-RA [PREDICTED: Apis mellifera similar to Suppressor of cytokine signaling 2 (SOCS-2) (Cytokine-inducible SH2 protein 2) (CIS-2) (STAT-induced STAT inhibitor 2) (SSI-2) (LOC411290), mRNA]
AM03489	GB10864-RA [PREDICTED: Apis mellifera similar to leucine-rich protein (LOC727294), mRNA]
AM03489	GB10864-RA [PREDICTED: Apis mellifera similar to leucine-rich protein (LOC727294), mRNA]
AM02398	BB160017B10C07.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160017B10C07 5', mRNA sequence
AM02398	BB160017B10C07.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160017B10C07 5', mRNA sequence
AM03675	GB11051-RA
AM03675	GB11051-RA
AM00968	DB779654 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10088F23 3', mRNA sequence
AM00968	DB779654 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10088F23 3', mRNA sequence
AM11190	GB18629-RA [PREDICTED: Apis mellifera similar to CG12267-PA (LOC411164), mRNA]
AM11190	GB18629-RA [PREDICTED: Apis mellifera similar to CG12267-PA (LOC411164), mRNA]
AM01701	"NW_001260068.1 SET: UI_EST BI509389; Apis mellifera genomic contig, reference assembly (based on Amel_4.0 GroupUn.112)"
AM01701	"NW_001260068.1 SET: UI_EST BI509389; Apis mellifera genomic contig, reference assembly (based on Amel_4.0 GroupUn.112)"
AM04262	GB11642-RA [PREDICTED: Apis mellifera similar to Sec61 CG9539-PA (LOC725571), mRNA]
AM04262	GB11642-RA [PREDICTED: Apis mellifera similar to Sec61 CG9539-PA (LOC725571), mRNA]
AM01472	BB170032A20F01.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170032A20F01 5', mRNA sequence
AM01472	BB170032A20F01.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170032A20F01 5', mRNA sequence
AM08131	GB15546-RA [PREDICTED: Apis mellifera similar to Ugt86Da CG18578-PA (LOC725106), partial mRNA]
AM08131	GB15546-RA [PREDICTED: Apis mellifera similar to Ugt86Da CG18578-PA (LOC725106), partial mRNA]
AM10881	GB30047-RC [PREDICTED: Apis mellifera similar to A-type potassium channel modulatory protein 2, transcript variant 2 (LOC409318), mRNA]
AM10881	GB30047-RC [PREDICTED: Apis mellifera similar to A-type potassium channel modulatory protein 2, transcript variant 2 (LOC409318), mRNA]
AM11930	GB19377-RA [PREDICTED: Apis mellifera similar to CG3403-PA (LOC410949), mRNA]
AM11930	GB19377-RA [PREDICTED: Apis mellifera similar to CG3403-PA (LOC410949), mRNA]
AM00672	DB768038 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10046N12 3', mRNA sequence
AM00672	DB768038 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10046N12 3', mRNA sequence
AM06424	GB13825-RA
AM06424	GB13825-RA
AM11227	GB18666-RA
AM11227	GB18666-RA
AM08298	GB15715-RA [PREDICTED: Apis mellifera hypothetical LOC552402 (LOC552402), mRNA]
AM08298	GB15715-RA [PREDICTED: Apis mellifera hypothetical LOC552402 (LOC552402), mRNA]
AM04474	GB11855-RA [PREDICTED: Apis mellifera similar to pancreatic triglyceride lipase (LOC727173), partial mRNA]
AM04474	GB11855-RA [PREDICTED: Apis mellifera similar to pancreatic triglyceride lipase (LOC727173), partial mRNA]
AM06310	GB13712-RA [PREDICTED: Apis mellifera similar to CG17386-PA (LOC724377), mRNA]
AM06310	GB13712-RA [PREDICTED: Apis mellifera similar to CG17386-PA (LOC724377), mRNA]
AM02325	DB762562 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10027I09 3', mRNA sequence
AM02325	DB762562 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10027I09 3', mRNA sequence
AM01041	BB170008A20G05.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170008A20G05 5', mRNA sequence
AM01041	BB170008A20G05.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170008A20G05 5', mRNA sequence
AM00060R	"NW_001253371.1 SET: miRNA ame-mir-317; Apis mellifera linkage group 5 genomic contig, reference assembly (based on Amel_4.0 Group5.13)"
AM00060R	"NW_001253371.1 SET: miRNA ame-mir-317; Apis mellifera linkage group 5 genomic contig, reference assembly (based on Amel_4.0 Group5.13)"
AM02357	BB160004A20A06.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160004A20A06 5', mRNA sequence
AM02357	BB160004A20A06.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160004A20A06 5', mRNA sequence
NaPi	Buffer
NaPi	Buffer
AM07675	GB15084-RA [PREDICTED: Apis mellifera hypothetical protein LOC724114 (LOC724114), mRNA]
AM07675	GB15084-RA [PREDICTED: Apis mellifera hypothetical protein LOC724114 (LOC724114), mRNA]
AM10836	GB18271-RA [PREDICTED: Apis mellifera similar to CG31547-PB, isoform B (LOC552368), partial mRNA]
AM10836	GB18271-RA [PREDICTED: Apis mellifera similar to CG31547-PB, isoform B (LOC552368), partial mRNA]
AM09211	GB16633-RA [PREDICTED: Apis mellifera similar to RAD54-like, transcript variant 1 (LOC409447), mRNA]
AM09211	GB16633-RA [PREDICTED: Apis mellifera similar to RAD54-like, transcript variant 1 (LOC409447), mRNA]
AM09053	GB16474-RA [PREDICTED: Apis mellifera similar to CG4908-PA, isoform A (LOC552253), mRNA]
AM09053	GB16474-RA [PREDICTED: Apis mellifera similar to CG4908-PA, isoform A (LOC552253), mRNA]
AM00602	DB738371 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10037H13 5', mRNA sequence
AM00602	DB738371 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10037H13 5', mRNA sequence
AM04565	GB11947-RA
AM04565	GB11947-RA
AM04475	GB11856-RA [PREDICTED: Apis mellifera similar to Ubiquitin-conjugating enzyme E2-17 kDa (Ubiquitin-protein ligase) (Ubiquitin carrier protein) (LOC551852), mRNA]
AM04475	GB11856-RA [PREDICTED: Apis mellifera similar to Ubiquitin-conjugating enzyme E2-17 kDa (Ubiquitin-protein ligase) (Ubiquitin carrier protein) (LOC551852), mRNA]
AM08545	GB15964-RA [PREDICTED: Apis mellifera similar to CG7365-PA (LOC552829), mRNA]
AM08545	GB15964-RA [PREDICTED: Apis mellifera similar to CG7365-PA (LOC552829), mRNA]
AM07736	GB15146-RA
AM07736	GB15146-RA
AM07713	GB15123-RA [PREDICTED: Apis mellifera similar to CG8885-PA (LOC726314), mRNA]
AM07713	GB15123-RA [PREDICTED: Apis mellifera similar to CG8885-PA (LOC726314), mRNA]
AM01596	BB170023A10C11.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170023A10C11 5', mRNA sequence
AM01596	BB170023A10C11.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170023A10C11 5', mRNA sequence
AM01542	BB170012A10G06.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170012A10G06 5', mRNA sequence
AM01542	BB170012A10G06.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170012A10G06 5', mRNA sequence
AM02263	BB160015A10G04.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160015A10G04 5', mRNA sequence
AM02263	BB160015A10G04.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160015A10G04 5', mRNA sequence
AM06076	GB13472-RA [PREDICTED: Apis mellifera similar to CG9535-PA, isoform A (LOC551964), mRNA]
AM06076	GB13472-RA [PREDICTED: Apis mellifera similar to CG9535-PA, isoform A (LOC551964), mRNA]
AM00634R	DB732103 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10014D14 5', mRNA sequence
AM00634R	DB732103 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10014D14 5', mRNA sequence
AM00191	GB30136-RA [PREDICTED: Apis mellifera similar to Putative odorant receptor 13a (LOC551455), mRNA]
AM00191	GB30136-RA [PREDICTED: Apis mellifera similar to Putative odorant receptor 13a (LOC551455), mRNA]
AM00478	DB733879 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10020P07 5', mRNA sequence
AM00478	DB733879 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10020P07 5', mRNA sequence
AM08037	GB15450-RA [PREDICTED: Apis mellifera similar to tropomodulin CG1539-PA, isoform A, transcript variant 1 (LOC409024), mRNA]
AM08037	GB15450-RA [PREDICTED: Apis mellifera similar to tropomodulin CG1539-PA, isoform A, transcript variant 1 (LOC409024), mRNA]
AM04028	GB11407-RA [PREDICTED: Apis mellifera similar to Spectrin beta chain (LOC411744), mRNA]
AM04028	GB11407-RA [PREDICTED: Apis mellifera similar to Spectrin beta chain (LOC411744), mRNA]
AM11301	GB18740-RA [PREDICTED: Apis mellifera similar to dpr4 CG33512-PA (LOC724823), partial mRNA]
AM11301	GB18740-RA [PREDICTED: Apis mellifera similar to dpr4 CG33512-PA (LOC724823), partial mRNA]
AM01513	BB170005B10E06.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170005B10E06 5', mRNA sequence
AM01513	BB170005B10E06.5 Bee Brain Normalized/Subtracted Library, BB17 Apis mellifera cDNA clone BB170005B10E06 5', mRNA sequence
AM01887	AM01887 Unknown [Arrayset: UI_EST BI511271]
AM01887	AM01887 Unknown [Arrayset: UI_EST BI511271]
AM08856	GB16276-RA [PREDICTED: Apis mellifera similar to Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (Sm protein B) (Sm-B) (SmB) (LOC409356), mRNA]
AM08856	GB16276-RA [PREDICTED: Apis mellifera similar to Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (Sm protein B) (Sm-B) (SmB) (LOC409356), mRNA]
AM02600	BB160024A20D01.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160024A20D01 5', mRNA sequence
AM02600	BB160024A20D01.5 Bee Brain Normalized Library, BB16 Apis mellifera cDNA clone BB160024A20D01 5', mRNA sequence
AM05521	GB12908-RA [PREDICTED: Apis mellifera similar to CG15385-PA (LOC409244), mRNA]
AM05521	GB12908-RA [PREDICTED: Apis mellifera similar to CG15385-PA (LOC409244), mRNA]
AM01928	[Antisense] XM_394333.3 [PREDICTED: Apis mellifera similar to Protein lethal(2)essential for life (Protein Efl21), transcript variant 1 (LOC410857), mRNA]
AM01928	[Antisense] XM_394333.3 [PREDICTED: Apis mellifera similar to Protein lethal(2)essential for life (Protein Efl21), transcript variant 1 (LOC410857), mRNA]
AM09883	GB17308-RA [PREDICTED: Apis mellifera similar to Mitochondrial Rho CG5410-PE, isoform E (LOC725244), mRNA]
AM09883	GB17308-RA [PREDICTED: Apis mellifera similar to Mitochondrial Rho CG5410-PE, isoform E (LOC725244), mRNA]
AM01009	DB754287 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10092N01 5', mRNA sequence
AM01009	DB754287 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10092N01 5', mRNA sequence
AM04495	GB11877-RA
AM04495	GB11877-RA
AM03568	GB10943-RA [PREDICTED: Apis mellifera similar to masquerade CG15002-PB (LOC550735), mRNA]
AM03568	GB10943-RA [PREDICTED: Apis mellifera similar to masquerade CG15002-PB (LOC550735), mRNA]
AM11815	GB19261-RA
AM11815	GB19261-RA
AM00200	GB30160-RA
AM00200	GB30160-RA
AM08226	GB17814-RA [PREDICTED: Apis mellifera similar to Hormone receptor-like in 38 CG1864-PB, isoform B (LOC551592), mRNA]
AM08226	GB17814-RA [PREDICTED: Apis mellifera similar to Hormone receptor-like in 38 CG1864-PB, isoform B (LOC551592), mRNA]
AM04290	GB11670-RA [PREDICTED: Apis mellifera similar to CG5745-PA (LOC410792), mRNA]
AM04290	GB11670-RA [PREDICTED: Apis mellifera similar to CG5745-PA (LOC410792), mRNA]
AM10415	GB17844-RA [PREDICTED: Apis mellifera similar to maelstrom CG11254-PA, isoform A (LOC409557), mRNA]
AM10415	GB17844-RA [PREDICTED: Apis mellifera similar to maelstrom CG11254-PA, isoform A (LOC409557), mRNA]
AM04518	GB11901-RA [PREDICTED: Apis mellifera similar to spineless CG6993-PA (LOC411264), mRNA]
AM04518	GB11901-RA [PREDICTED: Apis mellifera similar to spineless CG6993-PA (LOC411264), mRNA]
AM12310	GB19763-RA
AM12310	GB19763-RA
AM04532	GB11915-RA [PREDICTED: Apis mellifera similar to F55A4.8a (LOC412764), mRNA]
AM04532	GB11915-RA [PREDICTED: Apis mellifera similar to F55A4.8a (LOC412764), mRNA]
AM12050	GB19498-RA [PREDICTED: Apis mellifera similar to bendless CG18319-PA (LOC409386), mRNA]
